2023-05-09 10:20:26,936 INFO Starting...
2023-05-09 10:20:26,936 INFO Tickers: ['CB']
2023-05-09 10:21:43,837 INFO 4: 0.13517451154123697
2023-05-09 10:21:43,837 INFO 5: 0.1250079925463796
2023-05-09 10:21:43,837 INFO 6: 0.12368351343204509
2023-05-09 10:21:43,837 INFO 7: 0.12067831599331366
2023-05-09 10:21:43,837 INFO 8: 0.13621125898590572
2023-05-09 10:21:43,837 INFO 9: 0.15674981959681028
2023-05-09 10:21:43,837 INFO 10: 0.2284909159001434
2023-05-09 10:21:43,838 INFO Grouping by level and horizont:
2023-05-09 10:21:43,838 INFO 1_1: 0.0162682572595157
2023-05-09 10:21:43,838 INFO 2_1: 0.02992866081460033
2023-05-09 10:21:43,838 INFO 3_1: 0.028754898289138357
2023-05-09 10:21:43,838 INFO 4_1: 0.026037432520072706
2023-05-09 10:21:43,838 INFO 5_1: 0.023945668953296122
2023-05-09 10:21:43,838 INFO 6_1: 0.02317838450085406
2023-05-09 10:21:43,838 INFO 7_1: 0.02277647359719393
2023-05-09 10:21:43,838 INFO 8_1: 0.027215762214894454
2023-05-09 10:21:43,838 INFO 9_1: 0.032828813358056944
2023-05-09 10:21:43,838 INFO 10_1: 0.04461667747563415
2023-05-09 10:21:43,838 INFO 1_2: 0.027923673465659455
2023-05-09 10:21:43,838 INFO 2_2: 0.04784566621299451
2023-05-09 10:21:43,838 INFO 3_2: 0.04442028919316386
2023-05-09 10:21:43,838 INFO 4_2: 0.03919544744558218
2023-05-09 10:21:43,838 INFO 5_2: 0.036583026571791334
2023-05-09 10:21:43,838 INFO 6_2: 0.03715392274176311
2023-05-09 10:21:43,838 INFO 7_2: 0.036820519378499596
2023-05-09 10:21:43,838 INFO 8_2: 0.0403235382774464
2023-05-09 10:21:43,838 INFO 9_2: 0.046055335823963026
2023-05-09 10:21:43,838 INFO 10_2: 0.06787270385560437
2023-05-09 10:21:43,838 INFO 1_3: 0.058446066297030426
2023-05-09 10:21:43,838 INFO 2_3: 0.08634690391589102
2023-05-09 10:21:43,838 INFO 3_3: 0.07758250591448433
2023-05-09 10:21:43,838 INFO 4_3: 0.0699416315755821
2023-05-09 10:21:43,838 INFO 5_3: 0.06447929702129214
2023-05-09 10:21:43,838 INFO 6_3: 0.06335120618942791
2023-05-09 10:21:43,838 INFO 7_3: 0.06108132301762014
2023-05-09 10:21:43,838 INFO 8_3: 0.06867195849356486
2023-05-09 10:21:43,838 INFO 9_3: 0.07786567041479031
2023-05-09 10:21:43,838 INFO 10_3: 0.11600153456890488
2023-05-09 10:21:43,849 INFO Non empty regressions: 0.3841811522054861 --- 84118 / 218954
